NEST_ID,HATCHING EXPOSURE,FLEDGING EXPOSURE,Year_Nest,Date_FirstMarked,NestMarker,WaypointCode,Elevation_metres,Latitude_WGS84,Longitude_WGS84,ASTRODOS_UTM_E,ASTRODOS_UTM_N,TYPE,PARENT 1m,PARENT 2f,PARENT3,SEASON,HATCHED,fledged,failed,cause of failure,nested before,tracked?
MASPE_2006_C2163,14.5,32,2006,29/05/2006,625,E3,,,,202714,8232887,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2006_C2164,14.5,64.5,2006,29/05/2006,626,E3,,,,202714,8232887,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2006_C2165,14.5,32,2006,29/05/2006,627,E3,,,,202714,8232887,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2006_C2166,46.5,60,2006,29/05/2006,628,E3,,,,202714,8232887,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2006_C2167,7.25,7.25,2006,29/05/2006,629,E3,,,,202714,8232887,NATURAL,,,,COOL,TRUE,,TRUE,,,
MASPE_2006_C2168,46.5,0,2006,29/05/2006,630,E3,,,,202714,8232887,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C2169,46.5,60,2006,29/05/2006,631,E3,,,,202714,8232887,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2006_C2171,14.5,32,2006,29/05/2006,633,E3,,,,202714,8232887,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2006_C2172,14.5,0,2006,29/05/2006,634,E3,,,,202714,8232887,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C2173,14.5,64.5,2006,29/05/2006,635,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2006_C2174,46.5,60,2006,29/05/2006,636,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2006_C2175,14.5,0,2006,29/05/2006,637,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C2176,14.5,64.5,2006,29/05/2006,638,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2006_C2177,14.5,0,2006,29/05/2006,639,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C2178,14.5,64.5,2006,29/05/2006,640,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2006_C2179,46.5,32.5,2006,29/05/2006,641,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2006_C2180,14.5,32,2006,29/05/2006,642,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2006_C2181,14.5,0,2006,29/05/2006,643,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C2182,14.5,0,2006,29/05/2006,644,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C2183,46.5,0,2006,29/05/2006,645,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C2184,14.5,0,2006,29/05/2006,646,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C2185,46.5,0,2006,29/05/2006,647,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C2186,14.5,0,2006,29/05/2006,648,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C2187,14.5,47,2006,29/05/2006,649,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2006_C2188,14.5,64.5,2006,29/05/2006,650,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2006_C2189,14.5,64.5,2006,29/05/2006,651,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2006_C2190,37.75,8.75,2006,29/05/2006,652,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,,TRUE,,,
MASPE_2006_C2191,14.5,32,2006,29/05/2006,653,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2006_C2192,14.5,64.5,2006,29/05/2006,654,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2006_C2193,14.5,64.5,2006,29/05/2006,655,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2006_C2194,14.5,0,2006,29/05/2006,656,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C2195,14.5,32,2006,29/05/2006,657,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2006_C2196,46.5,0,2006,29/05/2006,658,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C2197,14.5,64.5,2006,29/05/2006,659,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2006_C2198,17.5,0,2006,27/06/2006,660,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2006_C2199,8.75,8.75,2006,27/06/2006,661,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,,TRUE,,,
MASPE_2006_C2201,17.5,60,2006,27/06/2006,663,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
